sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS17618,129481,13244511,452781,28163867,505152,36090623,687547,46943228,551687,36816234,206638,13554544,235452,17697229,521759,35648094
VBS17619,123559,13243957,458009,28159760,630454,36073393,690193,46942109,540527,36819806,206894,13551595,236621,17695448,521147,35645802
VBS17620,123776,13246244,533592,28141134,637324,36075855,728510,46935755,543853,36821030,209920,13553371,243780,17697144,517058,35647892
VBS17623,122939,13243341,462791,28155561,587363,36061772,697427,46932165,558501,36810543,211955,13549136,243655,17691269,526417,35637842
VBS17624,123021,13245148,538927,28137309,583165,36070969,676146,46945316,543110,36821683,210194,13552205,239032,17696390,513488,35647358
VBS17625,123204,13246382,466914,28157376,631568,36068467,693683,46940698,551210,36817662,212263,13550962,235562,17694937,524892,35645195
VBS17626,130185,13242993,553061,28133162,592601,36062330,715705,46933346,569679,36810272,218934,13550310,243677,17690616,542728,35639704
VBS17627,124744,13246244,528013,28141153,545141,36076170,680611,46942687,548549,36820657,206073,13553259,237941,17695767,512440,35646663
VBS17628,124735,13244662,456418,28160772,483924,36076834,720001,46934496,548923,36820882,211346,13550611,230853,17698606,509654,35646340
VBS17629,124214,13246391,522466,28138579,631095,36074494,679775,46945439,548585,36820186,198930,13552616,239240,17696185,515537,35647680
VBS17630,119949,13247113,530062,28139448,486325,36074207,714341,46938383,557267,36815578,208638,13553365,236855,17694935,510217,35648219
VBS17631,214188,13203051,527299,28124325,569794,36054649,831109,46911133,659234,36779768,238894,13542075,266918,17684250,608348,35611715
VBS17632,227934,13195534,539724,28114990,596404,36045687,834965,46891955,670664,36771249,242114,13540101,275940,17681339,608847,35608110
VBS17633,224669,13197945,537963,28119769,602872,36062514,833986,46893410,669583,36777603,242244,13542411,276455,17683579,609569,35609673
VBS17634,239341,13195843,562242,28114410,683796,36042243,848401,46894787,709732,36767869,251591,13538974,297201,17678899,639458,35606806
VBS17635,213863,13203728,550928,28128773,555846,36058089,814765,46905336,642303,36785173,231383,13542405,261725,17685261,598879,35616446
VBS17636,216504,13202654,511646,28120493,556348,36057082,780614,46907953,645525,36778729,233138,13540243,263301,17685876,593672,35617418
VBS17637,214272,13205695,559569,28129649,556883,36055686,786036,46908692,649953,36782044,234841,13544853,260331,17686076,597443,35617054
VBS17638,216335,13202523,516959,28127702,561020,36057464,819294,46902592,647073,36786146,233300,13544179,265403,17685516,602958,35615099
VBS17641,214327,13201292,560678,28123835,584533,36067330,821479,46898283,654513,36778668,235483,13541662,267533,17685274,603403,35612671
VBS17642,30432,13223357,510293,28128991,547455,36057487,779173,46911953,641974,36782789,231123,13547164,259547,17682690,588691,35619384
VBS17643,256870,13196991,611830,28106710,685878,36039109,942729,46881102,771033,36764186,276525,13535218,318441,17675937,712107,35596013
VBS17645,217111,13201764,560691,28124764,665180,36051248,793793,46903441,645531,36781178,233722,13542616,273454,17683422,600009,35613391
VBS17646,218666,13200868,525516,28120072,565636,36053147,791871,46903350,655801,36776929,233272,13540597,264515,17684133,599990,35612383
VBS17647,245655,13197953,619642,28118930,703167,36040840,923967,46888097,729681,36768623,264071,13540169,305384,17678087,683055,35604829
VBS17648,215715,13202302,504278,28126641,617850,36056574,748959,46913857,644162,36784070,222925,13545860,265241,17685935,581918,35619951
VBS17649,216871,13203137,520324,28123319,563984,36056991,823175,46897509,654467,36781422,232559,13542621,265741,17686520,605153,35611575
VBS17650,217270,13202942,517480,28119347,567093,36054438,805904,46902500,652897,36778487,235332,13541319,268190,17682966,588939,35616589
VBS17651,215969,13202690,515149,28126544,627179,36057544,824663,46913633,647536,36782792,234260,13545299,269251,17686532,605684,35614739
VBS17652,210863,13206318,517235,28125194,557069,36057858,817767,46902313,646097,36784658,235232,13544030,261815,17685816,601895,35614913
VBS17653,215457,13203907,512548,28127354,618842,36059280,779886,46910636,648975,36785314,230901,13545742,263862,17688074,592506,35618682
VBS17654,214927,13202334,511887,28128929,623586,36056298,788038,46912940,644381,36785207,229155,13546714,268506,17685889,596703,35619810
VBS17657,227965,13197834,543061,28115751,657754,36041630,839039,46890937,684789,36768154,244984,13539314,282563,17679854,636833,35604291
VBS17658,217303,13201921,512821,28124734,562305,36058065,777469,46910753,645130,36783316,232940,13544037,265819,17685174,587662,35619703
VBS17659,248105,13195875,582227,28114440,703917,36038072,900171,46888462,736559,36767281,264726,13538928,306631,17677997,682005,35601195
VBS17660,214093,13202897,556220,28131312,558058,36055708,809120,46905731,644876,36782109,235197,13545340,261176,17683628,593210,35618229
VBS17661,219341,13200773,566011,28120517,636139,36046941,795979,46896227,658499,36778979,238578,13540643,274008,17683129,603438,35606710
VBS17663,225260,13203203,536224,28124686,597358,36053023,850448,46898997,683249,36777417,245776,13543184,282274,17682955,624704,35614281
